                         vars   n         mean           sd      median      trimmed          mad    min
X...CASE                    1 176 2.973000e+02 1.016600e+02 2.91000e+02 2.912500e+02       116.38 138.00
Code_leet                  64 176 5.000000e-02 2.100000e-01 0.00000e+00 0.000000e+00         0.00   0.00
generated                  65 176 2.070000e+00 2.600000e-01 2.00000e+00 2.000000e+00         0.00   2.00
gender*                    66 175 1.490000e+00 5.000000e-01 1.00000e+00 1.490000e+00         0.00   1.00
age                        67 176 2.562000e+01 6.470000e+00 2.40000e+01 2.453000e+01         2.97  16.00
occupation                 68 176 2.240000e+00 1.830000e+00 1.00000e+00 1.990000e+00         0.00   1.00
it_background              69 176 3.800000e-01 4.900000e-01 0.00000e+00 3.500000e-01         0.00   0.00
Length                     70 176 1.081000e+01 2.960000e+00 1.00000e+01 1.035000e+01         2.97   8.00
Upper                      71 176 1.060000e+00 1.400000e+00 1.00000e+00 8.100000e-01         1.48   0.00
Lower                      72 176 6.890000e+00 3.800000e+00 7.00000e+00 6.730000e+00         2.97   0.00
Digits                     73 176 2.340000e+00 2.050000e+00 2.00000e+00 2.100000e+00         2.97   0.00
Symbols                    74 176 4.800000e-01 7.600000e-01 0.00000e+00 3.200000e-01         0.00   0.00
Digits_Symbols             75 176 2.820000e+00 2.190000e+00 3.00000e+00 2.630000e+00         1.48   0.00
Dig_Symb_middle            76 176 1.990000e+00 1.780000e+00 2.00000e+00 1.780000e+00         1.48   0.00
                              max     range  skew kurtosis           se
X...CASE                 5.27e+02 3.890e+02  0.41    -0.84 7.660000e+00
pw1*                     1.75e+02 1.740e+02  0.01    -1.23 3.830000e+00
pw2*                     1.61e+02 1.600e+02  0.06    -1.28 3.760000e+00
memorized                1.00e+00 1.000e+00 -2.60     4.80 2.000000e-02
forgot                   1.00e+00 1.000e+00  2.71     5.36 2.000000e-02
failures                 1.00e+00 1.000e+00  1.91     1.65 3.000000e-02
writeDown                3.00e+00 2.000e+00 -1.02    -0.40 5.000000e-02
numPwsCategories         3.00e+00 2.000e+00  1.14    -0.22 6.000000e-02
reuse                    1.00e+00 1.000e+00 -2.51     4.30 2.000000e-02
PW04                     6.00e+00 7.000e+00  0.31    -0.24 1.300000e-01
Cat_strength             1.00e+00 1.000e+00  0.56    -1.69 4.000000e-02
Cat_frequency            1.00e+00 1.000e+00  1.45     0.11 3.000000e-02
Cat_purpose              1.00e+00 1.000e+00  0.89    -1.22 3.000000e-02
Cat_importance           1.00e+00 1.000e+00  0.39    -1.86 4.000000e-02
Cat_length               1.00e+00 1.000e+00  1.29    -0.34 3.000000e-02
Cat_meaningfulness       1.00e+00 1.000e+00  4.67    19.92 1.000000e-02
Cat_other                1.00e+00 1.000e+00  3.40     9.60 2.000000e-02
E1R                      5.00e+00 4.000e+00  0.27    -0.88 9.000000e-02
E2                       5.00e+00 4.000e+00  0.56    -0.02 7.000000e-02
E3R                      5.00e+00 4.000e+00  0.24    -1.04 9.000000e-02
E4                       5.00e+00 4.000e+00  0.65    -0.42 8.000000e-02
A1R                      5.00e+00 4.000e+00 -0.18    -0.66 7.000000e-02
A2                       5.00e+00 4.000e+00  0.68    -0.49 9.000000e-02
A3R                      5.00e+00 4.000e+00 -0.37    -1.06 9.000000e-02
A4R                      5.00e+00 4.000e+00  0.00    -1.15 9.000000e-02
C1                       5.00e+00 4.000e+00  1.02     1.09 6.000000e-02
C2R                      5.00e+00 4.000e+00 -0.23    -1.01 9.000000e-02
C3                       5.00e+00 4.000e+00  0.94     0.94 7.000000e-02
C4                       5.00e+00 4.000e+00  0.94     0.60 7.000000e-02
N1                       5.00e+00 4.000e+00 -0.13    -1.02 9.000000e-02
N2R                      5.00e+00 4.000e+00 -0.14    -1.03 8.000000e-02
N3                       5.00e+00 4.000e+00  0.35    -0.96 9.000000e-02
N4                       5.00e+00 4.000e+00  0.08    -1.07 8.000000e-02
O1                       5.00e+00 4.000e+00  1.22     1.39 6.000000e-02
O2                       4.00e+00 3.000e+00  0.87     0.23 6.000000e-02
O3                       4.00e+00 3.000e+00  0.74     0.01 7.000000e-02
O4                       5.00e+00 4.000e+00  1.08     0.40 8.000000e-02
O5R                      5.00e+00 4.000e+00  0.62    -0.70 9.000000e-02
ControlItem              5.00e+00 4.000e+00 -2.13     4.05 5.000000e-02
Openness                 2.00e+01 1.500e+01  0.62    -0.25 2.500000e-01
Conscientiousness        1.90e+01 1.500e+01  0.37     0.28 2.100000e-01
Extraversion             2.00e+01 1.600e+01  0.42    -0.52 2.700000e-01
Agreeableness            2.00e+01 1.600e+01  0.04    -0.72 2.400000e-01
Neuroticism              2.00e+01 1.600e+01  0.02    -0.62 2.600000e-01
Influence                4.00e+00 4.000e+00  0.55     0.26 7.000000e-02
Influence_music          1.00e+00 1.000e+00  3.58    10.91 2.000000e-02
Influence_literature     1.00e+00 1.000e+00  4.33    16.82 2.000000e-02
Influence_TV             1.00e+00 1.000e+00  2.95     6.72 2.000000e-02
Influence_videogames     1.00e+00 1.000e+00  4.33    16.82 2.000000e-02
Influence_commercials    1.00e+00 1.000e+00  6.35    38.55 1.000000e-02
Influence_mnemonics      1.00e+00 1.000e+00  2.03     2.15 3.000000e-02
Influence_family         1.00e+00 1.000e+00  1.33    -0.23 3.000000e-02
Influence_residency      1.00e+00 1.000e+00  5.09    24.06 1.000000e-02
Influence_experience     1.00e+00 1.000e+00  0.20    -1.97 4.000000e-02
Code_None                1.00e+00 1.000e+00  4.33    16.82 2.000000e-02
Code_keyboard            1.00e+00 1.000e+00  4.33    16.82 2.000000e-02
Code_hobby               1.00e+00 1.000e+00  5.09    24.06 1.000000e-02
Code_situation           1.00e+00 1.000e+00  3.23     8.49 2.000000e-02
Code_oldPw               1.00e+00 1.000e+00  2.10     2.43 3.000000e-02
Code_job                 1.00e+00 1.000e+00  6.35    38.55 1.000000e-02
Code_random              1.00e+00 1.000e+00  4.67    19.92 1.000000e-02
Code_domain_topic        1.00e+00 1.000e+00  1.97     1.89 3.000000e-02
Code_mnemonic            1.00e+00 1.000e+00  2.17     2.74 3.000000e-02
Code_leet                1.00e+00 1.000e+00  4.33    16.82 2.000000e-02
generated                3.00e+00 1.000e+00  3.23     8.49 2.000000e-02
gender*                  2.00e+00 1.000e+00  0.03    -2.01 4.000000e-02
age                      5.50e+01 3.900e+01  2.47     7.46 4.900000e-01
occupation               6.00e+00 5.000e+00  0.93    -0.94 1.400000e-01
it_background            1.00e+00 1.000e+00  0.49    -1.77 4.000000e-02
Length                   2.20e+01 1.400e+01  1.39     1.79 2.200000e-01
Upper                    9.00e+00 9.000e+00  2.03     5.99 1.100000e-01
Lower                    2.20e+01 2.200e+01  0.81     1.88 2.900000e-01
Digits                   9.00e+00 9.000e+00  0.88     0.57 1.500000e-01
Symbols                  3.00e+00 3.000e+00  1.63     2.17 6.000000e-02
Digits_Symbols           9.00e+00 9.000e+00  0.62     0.04 1.700000e-01
Dig_Symb_middle          7.00e+00 7.000e+00  0.75    -0.08 1.300000e-01
 [ reached getOption("max.print") -- omitted 17 rows ]
